# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 235:         4.781       52.928       1.20  DE KOOY
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 260:         5.180       52.100       1.90  DE BILT
# 269:         5.520       52.458      -3.70  LELYSTAD
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 290:         6.891       52.274      34.80  TWENTHE
# 370:         5.377       51.451      22.60  EINDHOVEN
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# FG       = Etmaalgemiddelde windsnelheid (in 0.1 m/s); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# DR       = Duur van de neerslag (in 0.1 uur); 
# 
# STN,YYYYMMDD,   FG,   TG,   DR
# 
  235,20171001,   74,  141,    3
  235,20171002,   99,  155,   19
  235,20171003,   75,  142,    6
  235,20171004,  102,  137,   25
  235,20171005,  106,  135,   69
  235,20171006,   75,  125,   18
  235,20171007,   85,  137,   59
  235,20171008,   32,  127,    4
  235,20171009,   33,  135,    9
  235,20171010,   65,  148,    0
  235,20171011,  103,  154,   28
  235,20171012,   81,  141,    0
  235,20171013,   72,  156,    0
  235,20171014,   60,  154,    0
  235,20171015,   51,  165,    0
  235,20171016,   58,  184,    0
  235,20171017,   73,  141,    0
  235,20171018,   31,  131,    0
  235,20171019,   38,  156,    0
  235,20171020,   80,  140,   82
  235,20171021,   88,  131,   20
  235,20171022,   94,  122,   66
  235,20171023,   63,  126,   15
  235,20171024,   69,  153,   63
  235,20171025,   65,  141,    0
  235,20171026,   47,  137,    0
  235,20171027,   62,  124,    5
  235,20171028,  101,  133,    2
  235,20171029,   84,  110,   14
  235,20171030,   39,   97,    6
  235,20171031,   66,  118,   11
  240,20171001,   63,  140,    4
  240,20171002,   87,  157,   13
  240,20171003,   63,  139,   15
  240,20171004,   79,  136,   27
  240,20171005,  102,  133,   65
  240,20171006,   68,  118,   41
  240,20171007,   65,  127,   74
  240,20171008,   28,  127,    0
  240,20171009,   28,  125,   66
  240,20171010,   60,  145,    5
  240,20171011,   86,  148,   30
  240,20171012,   68,  135,    0
  240,20171013,   60,  152,    0
  240,20171014,   46,  152,    0
