# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 370:         5.377       51.451      22.60  EINDHOVEN
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TN,   TX
# 
  240,20171001,  140,   94,  171
  240,20171002,  157,  139,  176
  240,20171003,  139,  118,  168
  240,20171004,  136,  122,  158
  240,20171005,  133,  114,  158
  240,20171006,  118,  101,  147
  240,20171007,  127,  103,  151
  240,20171008,  127,  112,  153
  240,20171009,  125,  107,  145
  240,20171010,  145,  121,  164
  240,20171011,  148,  136,  160
  240,20171012,  135,  104,  159
  240,20171013,  152,  107,  188
  240,20171014,  152,  108,  195
  240,20171015,  160,  109,  215
  240,20171016,  182,  134,  234
  240,20171017,  129,   82,  156
  240,20171018,  143,  106,  178
  240,20171019,  160,  115,  203
  240,20171020,  135,  107,  167
  240,20171021,  129,  108,  173
  240,20171022,  115,   99,  136
  240,20171023,  128,  108,  152
  240,20171024,  154,  132,  169
  240,20171025,  141,   93,  173
  240,20171026,  138,  113,  168
  240,20171027,  117,   95,  145
  240,20171028,  130,  106,  154
  240,20171029,  104,   56,  151
  240,20171030,   83,   46,  121
  240,20171031,  110,   78,  130
  344,20171001,  148,  116,  168
  344,20171002,  158,  135,  178
  344,20171003,  139,  123,  163
  344,20171004,  134,  116,  150
  344,20171005,  134,  111,  164
  344,20171006,  119,   91,  152
  344,20171007,  130,   97,  152
  344,20171008,  131,  112,  163
  344,20171009,  131,   93,  149
  344,20171010,  143,   98,  158
  344,20171011,  150,  142,  162
  344,20171012,  137,  116,  161
  344,20171013,  156,  112,  186
  344,20171014,  153,  101,  198
  344,20171015,  165,   91,  225
  344,20171016,  194,  155,  246
  344,20171017,  132,   93,  160
  344,20171018,  143,  102,  179
  344,20171019,  168,  113,  209
  344,20171020,  137,  116,  170
  344,20171021,  134,  112,  173
  344,20171022,  112,  100,  130
  344,20171023,  131,  111,  159
  344,20171024,  156,  136,  167
  344,20171025,  147,  101,  172
  344,20171026,  140,  114,  172
  344,20171027,  118,   90,  150
  344,20171028,  128,  105,  152
  344,20171029,  106,   53,  151
  344,20171030,   85,   45,  118
  344,20171031,  106,   68,  125
  370,20171001,  145,   92,  182
  370,20171002,  158,  122,  195
  370,20171003,  129,  106,  168
  370,20171004,  126,   96,  150
  370,20171005,  123,   80,  160
  370,20171006,  105,   68,  150
  370,20171007,  110,   93,  129
  370,20171008,  120,   99,  151
  370,20171009,  125,   94,  157
  370,20171010,  145,  123,  166
  370,20171011,  147,  127,  163
  370,20171012,  129,   83,  169
  370,20171013,  153,   87,  203
  370,20171014,  155,  112,  216
  370,20171015,  165,   94,  240
  370,20171016,  190,  141,  255
  370,20171017,  141,  116,  170
  370,20171018,  148,  116,  217
  370,20171019,  167,  100,  221
  370,20171020,  139,  104,  170
  370,20171021,  134,  100,  182
  370,20171022,  103,   92,  128
  370,20171023,  119,   77,  153
  370,20171024,  150,  126,  166
  370,20171025,  143,  106,  165
  370,20171026,  134,  111,  170
  370,20171027,  113,   69,  149
  370,20171028,  112,   81,  148
  370,20171029,  100,   44,  147
  370,20171030,   76,   40,  119
  370,20171031,   92,   67,  107
