# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TN,   TX
# 
  270,20170901,  137,   70,  196
  270,20170902,  134,   83,  184
  270,20170903,  138,   63,  195
  270,20170904,  168,  113,  215
  270,20170905,  177,  154,  204
  270,20170906,  156,  134,  173
  270,20170907,  155,  129,  188
  270,20170908,  151,  119,  178
  270,20170909,  138,  109,  178
  270,20170910,  143,  104,  173
  270,20170911,  141,  113,  164
  270,20170912,  140,  116,  167
  270,20170913,  136,  118,  156
  270,20170914,  125,  104,  153
  270,20170915,  125,   95,  162
  270,20170916,  120,  102,  154
  270,20170917,  118,  102,  150
  270,20170918,  111,   65,  153
  270,20170919,  115,   50,  168
  270,20170920,  140,  109,  176
  270,20170921,  147,  119,  179
  270,20170922,  129,   77,  173
  270,20170923,  114,   55,  180
  270,20170924,  122,   42,  186
  270,20170925,  134,   88,  165
  270,20170926,  133,   96,  163
  270,20170927,  141,  104,  187
  270,20170928,  151,  123,  184
  270,20170929,  166,  136,  198
  270,20170930,  130,   92,  163
  270,20171001,  139,   95,  174
  270,20171002,  150,  126,  171
  270,20171003,  135,  120,  159
  270,20171004,  132,  120,  142
  270,20171005,  125,  103,  157
  270,20171006,  118,  102,  146
  270,20171007,  125,  105,  143
  270,20171008,  115,   73,  142
  270,20171009,  119,   79,  142
  270,20171010,  137,  114,  156
  270,20171011,  145,  129,  161
  270,20171012,  125,   96,  148
  270,20171013,  145,  108,  167
  270,20171014,  154,  121,  183
  270,20171015,  159,  118,  208
  270,20171016,  174,  126,  220
  270,20171017,  126,   92,  161
  270,20171018,  121,   75,  152
  270,20171019,  151,  115,  191
  270,20171020,  139,  118,  164
  270,20171021,  122,  104,  163
  270,20171022,  115,   98,  135
  270,20171023,  119,   85,  143
  270,20171024,  145,  114,  158
  270,20171025,  132,   85,  156
  270,20171026,  125,  101,  151
  270,20171027,  116,  103,  139
  270,20171028,  127,  107,  145
  270,20171030,   86,   63,  112
  270,20171031,  101,   65,  120
  270,20171101,  121,   99,  146
  270,20171102,   92,   45,  142
  270,20171103,   91,   58,  113
  270,20171104,  101,   74,  123
  270,20171105,   73,   44,  101
  270,20171106,   62,   18,  109
  270,20171107,   47,   17,   87
  270,20171108,   60,   43,   77
  270,20171109,   84,   49,  109
  270,20171110,   79,   47,  112
  270,20171111,   66,   28,   97
  270,20171112,   55,   23,   80
  270,20171113,   70,   27,  100
  270,20171114,   81,   31,   99
  270,20171115,   97,   93,  104
  270,20171116,   89,   41,  103
  270,20171117,   55,    8,   99
  270,20171118,   71,   53,   88
  270,20171119,   70,   51,   93
  270,20171120,   70,   48,  105
  270,20171121,  105,   94,  113
  270,20171122,  108,   91,  118
  270,20171123,   94,   58,  135
  270,20171124,   56,   16,   92
  270,20171125,   32,   -2,   66
  270,20171126,   50,   22,   76
  270,20171127,   67,   41,   91
  270,20171128,   55,   20,   72
  270,20171129,   33,    2,   67
  270,20171130,   11,  -28,   45
