# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 310:         3.596       51.442       8.00  VLISSINGEN
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TN,   TX
# 
  310,20170901,  163,  137,  199
  310,20170902,  160,  138,  193
  310,20170903,  169,  132,  196
  310,20170904,  176,  155,  190
  310,20170905,  188,  175,  216
  310,20170906,  171,  157,  185
  310,20170907,  166,  150,  187
  310,20170908,  158,  141,  169
  310,20170909,  149,  128,  173
  310,20170910,  155,  118,  190
  310,20170911,  149,  110,  167
  310,20170912,  154,  123,  170
  310,20170913,  156,  131,  177
  310,20170914,  131,  107,  151
  310,20170915,  133,  109,  153
  310,20170916,  125,  110,  143
  310,20170917,  132,  105,  161
  310,20170918,  137,  118,  155
  310,20170919,  144,  118,  178
  310,20170920,  145,  111,  173
  310,20170921,  153,  118,  184
  310,20170922,  152,  125,  178
  310,20170923,  146,  121,  179
  310,20170924,  154,  100,  192
  310,20170925,  153,  124,  194
  310,20170926,  148,  130,  177
  310,20170927,  156,  124,  193
  310,20170928,  168,  155,  191
  310,20170929,  172,  148,  220
  310,20170930,  151,  138,  164
  310,20171001,  152,  135,  165
  310,20171002,  160,  142,  171
  310,20171003,  144,  130,  159
  310,20171004,  139,  117,  154
  310,20171005,  142,  113,  166
  310,20171006,  129,  108,  149
  310,20171007,  132,  106,  156
  310,20171008,  137,  123,  158
  310,20171009,  139,  125,  156
  310,20171010,  147,  129,  162
  310,20171011,  149,  134,  158
  310,20171012,  143,  121,  162
  310,20171013,  155,  122,  181
  310,20171014,  157,  135,  195
  310,20171015,  168,  139,  208
  310,20171016,  181,  155,  225
  310,20171017,  142,  132,  156
  310,20171018,  151,  126,  175
  310,20171019,  166,  144,  201
  310,20171020,  137,  123,  169
  310,20171021,  138,  120,  166
  310,20171022,  121,  105,  132
  310,20171023,  136,  122,  150
  310,20171024,  155,  140,  169
  310,20171025,  148,  135,  161
  310,20171026,  138,  127,  149
  310,20171027,  129,  105,  146
  310,20171028,  132,  114,  152
  310,20171030,   98,   84,  122
  310,20171031,  107,   87,  124
  310,20171101,  112,   90,  136
  310,20171102,  111,   81,  134
  310,20171103,  116,  104,  139
  310,20171104,  116,  101,  133
  310,20171105,   94,   69,  109
  310,20171106,   90,   66,  112
  310,20171107,   76,   55,   96
  310,20171108,   73,   49,   87
  310,20171109,   95,   76,  111
  310,20171110,  107,   93,  132
  310,20171111,   87,   69,  106
  310,20171112,   78,   56,   95
  310,20171113,   84,   63,  108
  310,20171114,   83,   61,   97
  310,20171115,  102,   94,  117
  310,20171116,  102,   90,  117
  310,20171117,   83,   62,  110
  310,20171118,   91,   78,  102
  310,20171119,   79,   57,   96
  310,20171120,   87,   51,  116
  310,20171121,  116,  109,  127
  310,20171122,  115,  107,  126
  310,20171123,  110,   87,  135
  310,20171124,   83,   57,  103
  310,20171125,   64,   50,   83
  310,20171126,   73,   60,   82
  310,20171127,   80,   53,  107
  310,20171128,   69,   44,   82
  310,20171129,   53,   34,   84
  310,20171130,   38,   21,   55
